CASENAME,Depth,Area,RESTHICK,PRESS,TEMP,OILGRAV,SOLGOR,Visco,Psat,Bo,FLUIDTYPE,WATSAL,Aquifer,POROSITY,NTG,PERM,CONWATER,PERM.AQUIFER,OOIP,RF,RFmax,Np,Nw,Ng,Nwi,GOR,SWx,RELPERM.RESSAT.Kro,RELPERM.ENDPOINT.Kro,RELPERM.ENDPOINT.Krw,RELPERM.EXPON.Kro,RELPERM.EXPON.Krw,PROD.PI,WINJ.PI,PROD_TIME,Field.OILRATE,Field.WATRATE,Field.GASRATE,Field.INJWATRATE,Field.INJGASRATE,NumPROD,NumWINJ,BODP_well
e1914837,5230,32.7,207,2460,177,22.4,190,5.5,NA,1.073,Undersaturated,NA,Medium,0.15,0.52,360,0.353,190,380,19.8,21.3,74.23,20.68,22122,0,298,0.43,NA,NA,0.24,NA,NA,3,NA,47.2,39900,2900,0,0,0,9,0,57373.28099717852
c2ac18e2,9380,19.4,226,4650,215,13.2,50,38.4,624,1.04,Undersaturated,48600,Very Strong,0.252,0.64,1280,0.326,920,660,19.9,34.8,130.7,387.41,4675,152.67,NA,0.46,0.271,NA,NA,NA,1.743,17,21,10.3,67000,195800,NA,68700,0,4,1,118189.46781022096
0a85990b,7590,30.9,229,3630,201,40.3,360,0.6,1220,1.129,Highly Undersaturated,21400,Medium,0.232,0.6,330,0.183,260,1150,19.4,21.8,222.97,6.57,60030,0,269,NA,NA,NA,0.491,NA,NA,2,NA,42.4,131900,800,0,0,NA,25,0,20117.61629664316
ca5a1d6d,10560,26.2,157,5330,198,14.3,40,38.3,478,1.0408,Undersaturated,33400,Very Strong,0.295,0.8,1360,0.277,1420,940,29.5,32,277.52,2293.66,8191,1274.21,30,0.48,0.25,0.7344,0.1879,NA,NA,14,NA,44.1,102000,234000,0,99200,NA,5,1,90800.78216433409
830dd987,5840,15.9,48,2860,162,22.1,90,7.6,567,1.04,Undersaturated,47600,Medium,0.196,0.54,510,0.29,340,80,28.4,28.7,21.3,20.19,1375,0,65,0.45,0.27,0.95,0.539,NA,NA,1,NA,38.5,8000,4900,0,0,0,6,0,NA
c27df913,10670,27.4,304,5360,255,20.7,240,4.5,2047,1.103,Near Saturation,43900,Strong,0.222,0.86,570,NA,390,1510,29.5,32.2,445.93,521.61,81013,0,NA,0.44,0.251,NA,0.183,NA,NA,15,17,57,170000,112900,0,NA,0,7,0,71975.22484249536
3dc13130,7560,30.6,191,3990,178,27.3,20,6.2,72,1.029,Very Highly Undersaturated,7800,Strong,0.291,0.64,1280,0.179,990,1150,27.2,27.3,312.24,505.12,5109,0,16,0.38,0.2505,0.79,0.3731,NA,NA,10,NA,48.4,118000,94700,NA,0,0,7,NA,66871.40895226122
b6e9603b,3770,14.1,471,2460,122,36,450,NA,1481,1.138,Undersaturated,80600,Weak,0.18,0.51,130,0.304,90,560,22.7,NA,126.57,8.57,42599,156.45,337,0.46,NA,0.8861,0.37,NA,2.895,1,NA,11.5,44000,17800,0,92800,NA,24,11,20216.209880244423
91476bf1,11040,27,129,5470,220,22.6,120,4.6,976,1.067,Undersaturated,20200,Strong,0.28,0.72,1210,0.212,960,930,35,36.1,324.15,882.58,30382,0,94,0.47,NA,NA,0.4489,NA,NA,NA,13,58.3,70000,114100,0,NA,NA,NA,0,83470.56873330439
9fcc3d29,10110,24.8,208,5370,217,27.2,400,1.9,2271,1.143,Near Saturation,53200,Medium,0.231,0.7,220,0.268,180,830,18.4,NA,153.13,10.44,73650,0,481,NA,0.255,0.935,0.5005,NA,NA,2,NA,39.4,76000,NA,0,0,0,18,0,25352.858580410248
3cc186a0,7520,NA,174,3490,208,29.7,230,2.1,1307,1.0916,Undersaturated,54400,Strong,0.194,0.58,450,0.286,340,290,32,33.4,93.44,81.7,16256,0,174,NA,NA,0.8201,0.386,NA,2.062,3,4,33.6,28000,15700,0,0,0,8,0,55354.586618277244
02719651,4260,29.1,351,2720,131,19.2,30,NA,175,1.02,Highly Undersaturated,41900,Medium,0.255,0.66,370,0.282,300,1730,11,15.5,190.28,9.37,4193,0,22,0.34,NA,NA,0.5258,NA,NA,5,NA,30.4,150000,2700,0,0,NA,17,0,29641.276593570365
b3377a7e,9460,20.8,132,5220,209,29.3,570,1.2,2731,1.2,Near Saturation,59900,Weak,0.187,0.76,110,0.274,90,410,40.9,48.1,166.09,349.52,70879,538.16,427,0.57,NA,0.7525,0.408,NA,NA,1,NA,52.7,24400,27600,0,33600,NA,12,6,NA
02d6d32c,9890,24.9,399,5040,212,35.4,90,1.5,378,1.05,Highly Undersaturated,8000,Strong,0.288,0.79,800,0.169,700,2980,38.5,39.7,1146.28,758.4,74047,0,NA,0.47,NA,NA,0.2808,2.306,NA,16,NA,35.4,275100,143400,0,0,0,9,0,51044.76492293179
19b93861,6020,25.7,145,3560,168,28.7,540,1.7,2492,1.1783,Near Saturation,NA,Weak,0.156,0.84,180,0.354,100,410,38.8,40.8,159.05,591.99,64180,776.38,404,0.6,NA,0.896,0.426,NA,NA,NA,NA,40.2,46000,53800,0,62900,0,13,11,NA
74090de4,8060,18.2,394,4480,172,22.9,60,11.6,357,1.04,Highly Undersaturated,29400,Medium,0.28,0.55,490,0.237,400,1290,21.8,NA,280.42,197.82,12163,0,43,0.36,NA,NA,0.4103,NA,2.534,9,NA,39.7,103000,66200,0,0,0,9,0,46518.06698301807
84a1dcb1,8690,19.9,112,4120,213,15.1,100,20.8,1083,1.0548,Near Saturation,63000,Very Strong,0.238,0.59,850,0.34,640,340,32.2,36.2,109.48,747.5,7914,661.44,72,0.55,0.2549,0.83,0.44,NA,NA,4,7,42.7,37000,60900,0,49600,0,7,2,65898.14422411978
7545a96e,8970,23.8,97,4360,233,34.3,390,0.7,1658,1.1481,Undersaturated,29900,Strong,0.185,0.38,380,0.212,NA,170,26,33,44.76,1.96,13200,0,295,0.39,NA,NA,0.16,NA,NA,1,NA,15.7,19000,600,0,0,0,8,0,61437.78296619639
4ffb106b,3780,21.9,175,2170,151,13,90,170.1,1129,1.0408,Near Saturation,107900,Medium,0.12,0.65,240,0.431,90,210,12.2,15.5,25.26,358.11,1669,379.32,66,0.5,NA,0.85,NA,NA,NA,2,3,37.1,21500,28900,0,29500,0,13,5,33253.26243097124
f192b774,1170,20.4,230,1750,108,33.2,290,4,1582,1.064,Undersaturated,122400,None,0.103,0.8,50,0.44,NA,300,27.3,27.6,81.11,983.66,23594,1076.76,291,0.59,NA,0.88,0.4549,NA,NA,1,NA,51,22000,96900,0,151500,0,79,NA,5512.53140389041
a2aa2f43,7760,11.5,207,4760,157,23.6,70,10.9,353,1.03,Highly Undersaturated,32600,Weak,0.288,0.57,240,0.233,220,370,34.3,38.9,125.47,652.7,6200,755.07,49,NA,0.2733,0.955,0.436,NA,2.18,3,NA,43.2,40000,52000,0,53700,0,8,4,56135.66283946711
4f28fb4f,5710,14.2,231,3650,131,18.2,20,83.7,104,1.02,Highly Undersaturated,34500,Medium,0.288,0.59,460,0.265,390,550,15,17.7,83.32,73.43,1360,0,16,NA,NA,0.776,0.3002,NA,NA,5,NA,27.9,50000,32100,0,0,0,7,0,NA
97e9d382,6290,41,263,3190,160,40.6,860,0.5,2900,1.314,Undersaturated,81900,Medium,0.169,0.58,110,0.31,80,1200,41.5,43.1,499.63,2229.71,320742,2882.15,642,0.6,NA,0.7901,0.387,NA,NA,NA,2,56.2,88000,147400,100,160100,NA,47,41,NA
e6d411b3,11010,21.4,160,5410,225,12.8,80,19.3,1221,1.0574,Near Saturation,76100,Very Strong,0.226,0.72,1660,0.397,950,450,28.6,28.3,129.71,2192.59,7469,1523.71,58,0.56,NA,0.8908,0.298,NA,NA,NA,NA,49.5,47000,181400,0,NA,NA,4,1,NA
72e9ac58,5510,27.9,208,2180,197,17,140,25.1,1564,1.07,Near Saturation,100500,Very Strong,0.152,0.81,680,0.417,350,620,24.1,30,150.03,934.19,15205,982.48,101,NA,0.26,0.82,0.3,NA,NA,9,14,30,69000,100000,0,99400,NA,9,3,49563.229721045354
05dd9367,3050,19.6,162,1500,161,12.1,NA,327,919,1.0351,Near Saturation,NA,Strong,0.119,0.69,440,0.446,NA,180,16.2,17.6,28.67,747.82,1375,777.4,48,0.54,NA,0.9128,0.213,NA,1.7,4,NA,59.1,14000,37400,0,40100,NA,8,3,58770.65530798427
37d93cf7,4740,27.4,148,2310,167,12.3,120,87.1,2081,1.0638,Near Saturation,120300,Medium,0.116,0.78,210,0.445,80,260,10.3,17.8,26.75,121,3169,137.12,118,NA,NA,NA,NA,NA,NA,2,3,18.9,NA,21500,0,23100,0,9,3,56885.62219713349
ce221015,10250,32.9,206,4570,226,18.5,40,7.2,318,1.046,Highly Undersaturated,9600,Very Strong,0.272,0.79,3810,0.196,3320,1350,35.4,NA,479.19,1854.17,15349,0,32,0.48,NA,0.77,NA,NA,NA,NA,NA,18.2,126000,NA,0,0,NA,4,0,NA
6301b2ec,8790,15.7,189,4250,201,23.6,110,4.8,796,1.0587,Undersaturated,NA,Strong,0.233,0.82,750,0.25,590,610,38.5,43.3,235.33,494.46,19847,0,84,0.53,0.25,0.7588,0.23,NA,NA,NA,NA,40.3,63000,86900,0,0,0,6,0,NA
64d91983,2600,36.7,360,1570,112,36.5,290,1.6,1440,1.12,Undersaturated,103600,Weak,0.129,0.52,120,0.38,80,820,26.8,44.7,219.06,29.93,62740,285.36,286,NA,NA,0.92,0.11,NA,NA,2,3,11.5,86400,43300,0,144500,0,28,19,18316.176532551308
fb61ecd4,8630,26.8,348,4110,227,31.2,390,0.8,1700,1.146,Undersaturated,41600,Medium,0.199,0.66,370,0.239,260,1180,28.5,NA,337.15,92.52,147687,0,438,0.39,NA,0.953,0.259,NA,NA,4,NA,39.6,115000,NA,0,0,NA,18,0,23874.625435774215
0dfa7719,2520,18.6,337,1690,120,31.9,160,NA,602,1.0476,Highly Undersaturated,78600,Weak,0.159,0.57,110,0.331,70,500,41.9,NA,210.21,598.27,24535,824.91,117,0.61,NA,0.9226,NA,NA,NA,1,NA,38.3,57000,63300,0,105400,0,29,17,NA
de1b58c0,9130,18.7,315,5180,185,35.4,110,2.2,493,1.049,Highly Undersaturated,16100,Weak,0.282,0.58,290,0.184,250,1080,26.8,44.6,290.04,152.25,24440,399.04,84,0.4,0.26,0.74,0.498,NA,NA,NA,6,14.2,79000,105200,0,139100,NA,17,6,27664.528793940553
8df02bd3,4130,28.8,127,2230,160,25.4,90,10.7,608,1.0414,Undersaturated,65600,Medium,0.16,0.76,330,0.331,NA,440,13.7,15.1,59.6,5.55,4081,0,68,0.38,0.2861,0.876,NA,NA,NA,1,NA,59.1,31000,800,0,0,NA,20,NA,21579.925859973882
3b6d8396,4070,23.3,238,2160,NA,NA,50,34.7,372,1.03,Undersaturated,66100,Strong,0.212,NA,490,0.343,320,410,13.9,NA,56.61,33.38,2170,0,38,0.4,0.2815,0.888,0.356,NA,NA,NA,4,48.6,NA,8700,0,0,0,15,0,28391.657627188833
8888913b,7330,16.1,190,3870,186,38,900,0.3,3538,1.46,Undersaturated,76400,Weak,0.181,0.8,170,0.276,130,400,24.2,NA,97.74,0.27,376454,52.79,3852,0.33,0.228,0.849,NA,NA,1.807,2,NA,15.1,34000,200,NA,39900,9200,10,7,NA
86d02cc7,8790,28,381,4450,219,29.7,230,1.8,1190,1.0892,Undersaturated,38400,NA,0.227,0.52,410,0.241,310,1370,27.3,29.9,372.27,28.98,62814,0,NA,0.39,0.244,NA,0.277,NA,NA,4,NA,47.2,127000,3800,NA,NA,NA,16,NA,32246.381308881246
35353e6a,10320,17.6,404,4940,245,22,300,3.3,2340,1.123,Near Saturation,54900,Very Strong,0.217,0.77,680,0.296,530,1020,20.4,25.1,206.74,97.78,140654,0,680,0.38,0.236,NA,NA,NA,NA,14,NA,11.8,NA,NA,100,0,400,6,1,81392.27381525561
38686a29,2800,17.6,142,1490,130,22.5,180,9.4,1141,1.0618,Undersaturated,100200,Medium,0.125,0.69,200,0.4,90,190,13.2,14.3,24.63,1.83,14285,0,580,0.44,0.288,0.78,0.4,NA,NA,1,NA,43.5,NA,800,0,0,0,20,0,NA
d53b5fd4,5080,30.1,168,3450,129,24.7,40,15.2,226,1.0267,Highly Undersaturated,32100,Medium,0.236,0.7,280,0.246,190,850,32.6,35.9,276.08,1948.11,8946,2217.42,32,NA,0.3017,NA,0.38,NA,NA,3,4,59.2,74000,108000,0,NA,NA,14,10,32939.652039551795
2dfa7330,8830,12,254,7580,191,35.9,2030,0.3,6884,1.56,Near Saturation,105800,Weak,0.149,0.84,100,0.361,90,380,43.2,47.2,162.54,92.28,4449547,321.12,27375,0.54,0.2372,0.805,0.372,NA,NA,NA,2,53.6,37000,12600,300,NA,300,11,10,46639.98020896212
26312243,2580,8,441,1790,113,17,130,65.5,1607,1.05,Near Saturation,119800,Weak,0.121,0.75,160,0.44,70,250,22.9,23,56.02,935.83,7317,996.93,131,NA,0.32,NA,0.33,NA,NA,4,NA,50.8,28000,55400,0,75000,NA,9,5,46533.60682687489
7198ebbe,4140,18.3,258,2670,141,38.3,410,0.9,1252,1.13,Undersaturated,48900,Weak,0.196,0.5,160,NA,120,540,34,NA,184.63,58.46,56162,268.08,304,0.49,0.253,0.6389,0.41,NA,NA,NA,NA,16.8,51000,34700,0,85700,0,18,11,NA
23732f3d,11360,29,182,5800,238,40.7,220,0.7,814,1.09,Highly Undersaturated,3900,Medium,0.296,NA,520,NA,490,1290,31.2,33.6,402.79,58.8,65490,0,163,0.35,0.212,0.9599,0.436,NA,NA,3,7,51,156000,9100,0,0,0,16,0,NA
3e88cb95,5460,28.8,431,3160,158,37.8,570,0.8,1986,1.1883,Undersaturated,74500,Weak,0.172,0.79,180,0.294,130,1580,42.6,50.2,672.86,2042.51,285506,2843.34,424,0.59,0.256,0.7866,NA,NA,NA,NA,NA,46.4,135000,178600,100,NA,0,42,13,12164.487461966928
4986433c,6750,20.2,171,3240,203,26.9,180,3.1,1064,1.073,Undersaturated,56600,Medium,0.19,0.75,400,0.295,280,440,26.8,29.9,118.77,51.14,16203,0,136,NA,0.2531,0.9302,0.3,NA,NA,NA,NA,43.6,51000,10000,0,0,0,10,0,49743.39877749444
d4ea09b5,7100,21.8,390,4070,182,36.9,400,1,1520,1.13,Undersaturated,51500,Weak,0.219,0.62,130,0.244,110,1210,33.1,47.2,400.71,230.08,120382,674.81,300,0.49,0.2511,0.874,0.5294,NA,NA,2,NA,17.4,92000,122500,0,174300,NA,29,20,NA
974e96ff,1370,28.8,243,1060,106,33.8,NA,3.9,962,1.07,Undersaturated,111800,Weak,0.113,0.52,100,0.411,40,290,34.2,37.9,100.17,851.46,17227,962.66,172,0.61,NA,NA,0.2033,NA,NA,1,NA,44.5,34000,65800,NA,109900,0,53,39,NA
1e61930e,2320,30.2,174,1190,132,29,220,NA,1161,1.0737,Undersaturated,105000,NA,0.126,0.68,190,0.406,100,390,11.7,11.4,45.4,1.45,43110,0,950,0.43,0.272,NA,0.243,NA,NA,2,3,25.3,32900,800,NA,0,0,34,NA,14214.787394047016
114d373b,6130,18.1,349,2580,183,34.5,310,NA,1463,1.115,Undersaturated,70000,Strong,0.187,0.55,390,0.314,270,620,25.5,32.7,158.26,28.22,36617,0,231,0.46,NA,0.893,0.279,NA,NA,7,9,12.6,70000,12300,0,0,0,9,0,56348.051894054515
06da700d,2630,10.8,292,1870,124,32.3,80,4.1,NA,1.029,Highly Undersaturated,53100,Weak,0.198,0.74,150,0.276,NA,430,33.1,47.6,142.29,88.87,8399,236.78,59,0.52,NA,NA,0.321,NA,NA,2,NA,14.9,49000,49000,0,NA,0,16,7,28625.84965039823
154071ca,11370,28.7,146,5730,243,12.5,20,NA,211,1.04,Highly Undersaturated,9000,Very Strong,0.298,0.61,3100,0.204,2900,780,25.3,34.3,196.88,1335.53,2802,547.66,14,0.4,0.25,0.726,0.4,3.292,NA,NA,NA,17.2,58000,434800,0,157900,0,4,1,111452.69230429258
da6355b8,10430,11.4,134,5110,245,12.4,370,6.3,4152,1.15,Full Saturated,93000,Strong,0.151,NA,480,0.398,280,110,25.4,NA,26.81,96.02,112036,125.79,4180,0.5,0.269,0.874,0.23,NA,NA,2,NA,58.4,NA,28500,0,7600,0,5,2,NA
670d11cd,6950,20.8,120,3270,186,38.3,170,0.9,607,1.067,Highly Undersaturated,20400,Medium,0.263,0.6,460,0.188,390,460,20.8,33.5,95.37,5.17,12363,0,130,0.35,0.22,0.9638,0.3225,NA,1.85,NA,NA,9.9,36000,3600,0,0,0,12,0,40912.915901164524
e7d6acf6,7280,30.6,226,3590,178,28.8,150,2.7,850,1.0662,Undersaturated,39000,Strong,0.189,0.72,460,0.255,300,770,26.8,29.5,206.08,69.71,23334,0,113,0.41,NA,0.8817,0.497,3.24,2.43,NA,NA,33.8,91000,15300,0,0,NA,11,0,46046.62654902574
8ef5c26c,10640,26.4,234,5030,221,20.1,490,1.9,4566,1.2545,Full Saturated,83100,Medium,0.153,0.4,260,0.351,170,310,21.3,25,66.72,0.59,970589,0,14547,0.37,0.254,NA,0.4424,NA,NA,2,3,49.5,37000,200,100,0,400,7,1,65455.295639134216
509a52d2,10880,6.9,171,5110,234,41.2,NA,0.5,1576,1.1567,Undersaturated,14000,Strong,0.277,0.61,860,0.174,740,220,50.7,56.7,112.01,610.07,34307,0,306,0.58,NA,0.97,0.379,NA,2.11,NA,9,47.4,19000,61900,0,0,0,5,NA,89135.40378446924
9c1a3fb2,1250,15.4,264,1840,102,24.2,230,13.1,1684,1.052,Near Saturation,124000,Weak,0.114,0.6,30,0.446,20,210,23.6,25.3,50.12,611.26,11301,668.62,226,0.58,NA,NA,0.293,NA,2.245,1,NA,41.2,23000,52100,NA,91400,0,39,45,13094.477090567725
540909cd,8240,42.6,258,4180,192,20.9,110,8.2,852,1.054,Undersaturated,NA,Medium,0.247,0.59,530,0.284,400,1370,24.1,25.3,329.68,135.27,27620,0,84,NA,0.2543,NA,0.28,NA,NA,6,9,53.8,120000,30700,0,0,NA,14,0,29531.540266556633
d043e53c,11970,21.9,129,5980,251,29.2,40,1.6,161,1.05,Highly Undersaturated,1000,Very Strong,0.3,0.86,5040,0.15,5250,910,52.2,57.1,472.93,3028.26,15314,0,32,0.59,0.1955,NA,0.215,NA,NA,42,NA,32.9,97000,460800,0,0,NA,4,0,NA
837977de,4840,18.6,344,1840,188,19,120,11.8,1130,1.064,Near Saturation,NA,Very Strong,0.135,0.68,820,0.383,370,430,29.1,34.3,124.77,196.49,11689,0,94,0.55,NA,NA,0.2623,NA,NA,NA,23,22.2,47000,41100,0,0,0,6,0,NA
eb8945f0,8600,17.5,59,4100,190,34.9,490,0.9,2142,1.175,Undersaturated,67200,Strong,0.249,0.65,280,0.289,220,150,30.7,29.7,45.74,13.96,30921,0,676,0.47,0.22,0.7,0.51,NA,NA,NA,NA,42,12000,2100,NA,NA,0,10,0,42403.58583046007
07dac79d,5390,22.5,67,1930,183,27.8,190,2.2,1011,1.08,Undersaturated,67700,Very Strong,0.183,0.78,710,0.325,510,200,35.3,NA,69.55,69.64,13728,0,197,0.51,0.2276,0.65,0.39,2.957,NA,NA,NA,35.1,21000,8600,NA,0,0,11,0,44937.06393102184
1248de84,9520,29.2,199,4990,203,20.1,60,15.6,494,1.04,Undersaturated,25500,Strong,0.271,0.71,810,0.238,700,1100,25.7,26.3,282.29,392.52,12384,0,44,0.41,0.2634,0.7018,0.2371,NA,NA,NA,12,35.8,117000,103200,NA,0,0,8,0,55079.936780350545
8bf9d6dd,4970,34.4,108,1740,210,21.5,90,7.1,687,1.05,Undersaturated,59200,Very Strong,0.15,0.58,1180,0.334,NA,230,29.8,30.1,69.41,102.13,4824,0,70,0.48,0.249,NA,0.33,NA,NA,4,9,57.5,28000,NA,0,0,NA,9,0,53055.312796658836
a7017e8f,6750,27.6,391,3500,180,35.7,280,1.2,1178,1.0993,Undersaturated,45800,Medium,0.186,0.69,230,0.249,190,1640,17.1,16.8,281.37,0.54,67794,0,241,0.31,0.25,NA,0.2596,NA,2.73,6,NA,47,174200,100,0,0,0,19,0,NA
f0795683,2310,26.8,137,1570,122,34.7,NA,1.8,1420,1.1098,Undersaturated,102100,Weak,0.107,0.8,180,0.385,70,270,37.1,43.5,98.95,315.25,26044,429.12,263,0.61,0.289,0.903,0.4928,NA,NA,2,2,27.3,28000,45300,0,65700,0,22,13,NA
807c9e61,1190,16,47,5510,100,18.6,670,44.3,5021,1.041,Full Saturated,125000,None,0.101,0.56,10,0.45,10,30,17.9,NA,5.62,20.94,3765,28.16,669,0.55,NA,0.75,NA,NA,NA,0,NA,8.8,3000,18200,0,24900,NA,139,206,3119.2662412912932
0d8ed940,1340,7,231,1990,98,19.1,190,42.7,1815,1.04,NA,123900,None,0.107,0.85,60,0.447,30,100,21.7,27.2,21.93,139.61,4068,163.94,185,0.57,NA,NA,0.19,NA,1.86,1,NA,20.9,9000,24400,0,39800,0,13,11,NA
39cd9211,8170,13.9,222,3710,194,19.6,270,6.6,2395,1.109,Near Saturation,86000,Medium,0.174,0.71,460,0.375,330,370,31.1,30.9,115.42,276.36,37874,0,328,0.52,NA,0.728,0.417,NA,NA,6,9,59.4,46000,36900,0,0,0,6,0,71506.32003251812
188132b2,9790,22.6,125,4810,217,30.6,250,1.1,1210,1.1012,Undersaturated,NA,Medium,0.246,0.67,530,0.207,430,430,38.7,49.3,168.06,38.75,32064,0,191,0.5,0.228,0.79,0.361,NA,NA,NA,NA,19.1,37000,16000,0,0,NA,6,0,NA
5742f9bd,9140,7.2,455,4470,211,37.1,460,NA,1684,1.1665,Undersaturated,30700,Medium,0.246,0.51,300,NA,290,520,37.1,42.5,191.69,102.49,66061,0,345,0.48,NA,NA,0.347,NA,1.94,NA,8,23.4,39000,25400,0,0,NA,6,0,77264.87424898369
21747bc7,10890,14.9,404,5810,192,20.3,200,6.6,1669,1.083,Near Saturation,NA,Medium,0.259,0.44,220,0.243,180,660,24.8,NA,164.3,212.87,25023,360.92,152,0.43,NA,0.824,0.28,NA,NA,2,NA,17.5,74000,67200,0,79500,0,11,5,38839.856925583976
3881369b,5170,41.6,179,2600,173,33.1,170,1.8,740,1.06,Undersaturated,47100,Medium,0.187,0.69,310,0.261,220,920,16.4,17.9,150.04,3.53,26739,0,178,0.31,0.25,0.94,0.523,NA,2.02,NA,NA,49.4,78000,500,0,0,0,23,0,21017.071141915792
7e110023,1190,34,216,920,107,34.6,170,2.7,821,1.0668,Highly Undersaturated,115300,Weak,0.106,0.78,170,0.422,70,460,36.3,37.8,165.7,1664.15,27787,1850.58,168,0.63,0.287,0.886,0.3783,NA,NA,2,3,45.1,52000,120900,0,NA,0,44,29,10604.060593593353
71490a4f,5810,25.8,313,3170,166,33.5,NA,1.4,1791,1.138,Undersaturated,80000,Weak,0.187,0.77,130,0.321,100,990,40.5,59.4,398.71,174.47,125571,625.2,315,NA,NA,NA,0.41,NA,NA,NA,NA,17.2,85000,96600,0,146500,0,27,16,NA
99b16e7e,4690,30,384,2290,172,14.4,130,61.3,1558,1.056,Near Saturation,107800,Medium,0.14,0.63,310,0.427,160,800,20.5,23.2,163.84,1360.24,15834,1495.58,97,0.54,NA,NA,0.22,NA,NA,6,NA,50.2,72100,87800,NA,90100,0,12,5,35839.534105037455
8f24940d,5600,NA,408,2930,164,44,660,0.4,2657,1.32,Undersaturated,78400,Weak,0.167,0.81,160,0.286,130,1590,45.3,51.2,719.36,754.58,5055159,1570.11,7027,0.55,NA,0.7173,0.227,3.99,NA,NA,8,48.8,141000,84800,300,227600,NA,24,NA,NA
4f650d85,9490,28.8,117,5220,190,30,460,1.9,2450,1.1575,Near Saturation,67900,Weak,0.234,0.48,140,0.294,110,410,26.9,43.2,111.05,77.93,38359,199.38,345,0.48,0.2593,NA,NA,3.189,NA,0,NA,19.5,35300,24100,0,NA,NA,32,NA,14302.69977918797
ae262d61,3010,21.8,329,1330,138,14.3,80,103.7,930,1.041,Near Saturation,109400,Very Strong,0.134,0.45,500,0.433,240,360,10.9,28.4,39.07,20.24,2310,49.99,59,0.5,NA,0.93,0.36,NA,NA,NA,NA,7.1,36300,28400,0,43900,0,9,NA,49781.71453240793
85042489,5230,23.9,199,2330,159,19.1,120,13.8,932,1.0511,Undersaturated,83400,Strong,0.211,0.56,490,0.37,310,480,25.1,27.8,120.75,67.14,10702,0,89,NA,NA,NA,0.2067,NA,NA,NA,NA,47.3,53000,9300,NA,0,NA,9,0,49443.495466641616
6277a1f0,5450,10.6,211,3080,147,30.3,650,1.5,3009,1.226,Near Saturation,103200,Weak,0.142,0.77,160,0.383,110,200,35.9,41.6,72.21,185.72,35432,268.73,491,0.6,NA,0.93,0.2968,NA,NA,3,NA,35.2,16000,23000,0,24100,0,6,3,76572.04708106001
c4d14bb5,3670,8.3,215,NA,135,26.7,110,5.3,529,1.04,Highly Undersaturated,62600,Weak,0.18,0.64,140,0.302,NA,190,37.3,48.7,71.97,247.78,6184,320.15,86,NA,0.29,NA,0.325,NA,NA,2,2,33.7,19000,26600,0,28300,NA,9,5,NA
be1f65b4,7520,16.1,95,4280,170,22.7,400,4.2,2530,1.13,Near Saturation,92200,Medium,0.19,0.86,110,0.365,NA,250,2.8,32.8,6.82,0.01,63025,0.38,9242,0.27,NA,0.76,NA,NA,2.081,NA,1,10.5,23200,100,0,25600,12800,13,11,38897.041394636304
9291696a,5940,22.3,105,2750,178,26.7,NA,2,2012,1.135,Near Saturation,86200,Medium,0.157,0.68,230,0.355,160,210,19.6,21.6,42.06,7.35,36443,0,NA,0.44,NA,0.8216,0.4184,NA,1.76,1,NA,31.7,18000,1800,NA,0,0,18,NA,28242.20598152897
e98c1bdf,11710,32.1,196,5870,237,26,60,NA,325,1.049,Highly Undersaturated,2000,Very Strong,0.297,0.65,2320,0.155,2500,1250,48,NA,600.97,1812.71,24991,0,42,NA,NA,0.908,NA,NA,2.29,NA,48,40.3,114000,375300,0,0,NA,5,0,93345.48043487594
5049b9f6,9570,13.3,168,4750,220,15.2,210,9.6,2283,1.09,Full Saturated,71100,Medium,0.177,0.54,530,0.35,310,200,31.8,36.2,62.61,403.07,10033,324.79,160,0.55,0.27,NA,0.4,NA,NA,4,6,40.3,24000,42100,0,25800,NA,5,1,NA
cdf4128e,2880,29.3,314,1870,119,22.7,50,22.5,234,1.03,Highly Undersaturated,61700,Weak,0.188,0.7,240,0.325,160,1070,6.5,13.7,69.61,0.52,2453,0,35,0.35,0.3,0.85,0.411,NA,NA,4,8,11.7,107000,300,0,NA,NA,29,0,NA
bab6893d,5240,13.5,284,3330,149,12.7,20,983.2,295,1.0242,Highly Undersaturated,82000,NA,0.237,0.72,450,0.398,250,480,10.7,11.5,51.56,1629.14,952,1636.52,18,0.46,0.321,NA,0.1544,NA,NA,4,NA,56.8,29000,83000,0,82600,0,9,3,46647.89919141331
8c237767,6830,42.7,69,NA,178,19,300,7.5,2258,1.1042,Near Saturation,95100,Medium,0.176,0.67,170,0.382,120,290,2.2,2.3,6.16,0.01,1389,0,225,0.3,0.27,0.73,0.14,NA,NA,1,1,22,20200,100,NA,0,16800,19,4,NA
b74e92d6,9500,14.6,276,4070,223,20.9,110,7.1,958,1.06,Undersaturated,41700,Very Strong,0.261,0.73,1760,0.283,NA,770,40.8,47.8,313.03,758.3,24833,0,NA,0.57,0.2226,0.93,NA,NA,NA,23,NA,22.3,63000,183200,0,0,NA,4,0,NA
7ec0e1d2,5410,41.2,266,2860,192,13.9,40,94.6,442,NA,Undersaturated,63100,Medium,0.161,0.7,700,0.362,360,1220,11.2,17.9,136.48,409.15,3948,494.8,29,0.43,0.3097,0.9439,0.3376,NA,NA,7,15,13.2,113600,134800,0,145400,NA,NA,4,43156.513639739715
